id,userName,text,profileUrl,avatarUrl,date
48527662244,lytwqxx,@funank1 🗿🗿,https://www.instagram.com/lytwqxx/,https://instagram.fraj1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fraj1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5yBWr8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDwwQi4ssLNObal6LtbkBGWyzLY3RBhMMMgSVxxDDpoBQ&oe=661B3C0F&_nc_sid=b41fef,2024/04/09 19:56:00
59249948056,binsik_cleon,BISMILLAH BISMILLAH,https://www.instagram.com/binsik_cleon/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/423433433_363519296582904_9180128809444651947_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Cs9tSBnF07oAb7Y5BsP&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBkIfz9ShbpVKWZOQ6KgGMOtZk5WkXWJfv7C2jPoTQVvw&oe=661B228F&_nc_sid=0985b0,2024/04/09 19:56:49
43107073006,ryanhidayat_712,Semoga berkah selalu Abangku🔥🔥🔥,https://www.instagram.com/ryanhidayat_712/,https://instagram.fraj1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fraj1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5yBWr8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDwwQi4ssLNObal6LtbkBGWyzLY3RBhMMMgSVxxDDpoBQ&oe=661B3C0F&_nc_sid=b41fef,2024/04/09 19:57:35
57121103697,arrozzaqi_,ikan teri makan tomat moga menang ngab,https://www.instagram.com/arrozzaqi_/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/409910172_905425493925235_7782126046579664298_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=bZw_P67q4uUAb5E6OQu&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAFkLI11wobiduWe-tNn9K_nPO3xUu5jnhY5CLAoYcmRQ&oe=661B2773&_nc_sid=0985b0,2024/04/09 20:03:46
44688155906,bukanimamnr_,Semoga lebaran dapat dm dari raps point,https://www.instagram.com/bukanimamnr_/,https://instagram.fraj1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fraj1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5yBWr8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDwwQi4ssLNObal6LtbkBGWyzLY3RBhMMMgSVxxDDpoBQ&oe=661B3C0F&_nc_sid=b41fef,2024/04/09 20:04:09
50499752084,kasta_jtnka24,Mudah mudahan makin maju makin sukses buat raps point'🤲amin ya Allah 🤲@gunglkmn @ripqirmd_ @kairirds,https://www.instagram.com/kasta_jtnka24/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/277078391_134934069068398_5098675766823555455_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=aoNDGeBNTTQAb5HWJBN&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfC-J6WFqNxwCouiBzF1xoP4pdPHOsPOTu5BXBLNULuPRg&oe=661B10EB&_nc_sid=0985b0,2024/04/09 20:09:32
56513178936,axriz.q,"bismillah, aku berharap rapspoint kedepannya makin maju dan sukses di lapangkan rezekinya, makin banyak buyernya, @azwiqw @karere.gt @pidl.x",https://www.instagram.com/axriz.q/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/379281167_1030337344810614_3952999118948059894_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=tFqkzJi4gf0Ab45T6tW&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfDFFH1g6KwNgOpYdO9j3vCYy81aIC-mW7XJwcVu4onhJw&oe=661B3BE1&_nc_sid=0985b0,2024/04/09 20:13:04
15718707201,d.vaa_100,"Bissmillah, semoga rapspoint dan jokiraps selalu di beri kelancaran dalam rezeki semoga sehat selalu kedepannya semakin berkembang lagi dan semakin sukses aamiin🙌 @legisaptr @17vanz.f_sttr @kaysh___voldigoad",https://www.instagram.com/d.vaa_100/,https://instagram.fraj1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fraj1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5yBWr8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDwwQi4ssLNObal6LtbkBGWyzLY3RBhMMMgSVxxDDpoBQ&oe=661B3C0F&_nc_sid=b41fef,2024/04/09 20:14:38
65359010919,nekoma133,"makin kesini makin maju buat bisnis rapspoint, sehat sehat buat para crew nya, makin berkembang bisnisnya serta makin sukses, thank u udah adain giveaway sangat membantu buat para kita mestinya @lutfihalimawannn @jaomal_ @rizkypantjoro10",https://www.instagram.com/nekoma133/,https://instagram.fraj1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fraj1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5yBWr8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDwwQi4ssLNObal6LtbkBGWyzLY3RBhMMMgSVxxDDpoBQ&oe=661B3C0F&_nc_sid=b41fef,2024/04/09 20:15:46
52238722672,tetep.adis,@jomkowhy nanti bagi bagi ya,https://www.instagram.com/tetep.adis/,https://instagram.fraj1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fraj1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5yBWr8&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDwwQi4ssLNObal6LtbkBGWyzLY3RBhMMMgSVxxDDpoBQ&oe=661B3C0F&_nc_sid=b41fef,2024/04/09 20:20:13
