id,userName,text,profileUrl,avatarUrl,date,created_time
40720179292,mhdbyyzqt,lancar terus rapsointt @2havingfunn @dfffaxzqt @adityariszkypratama,https://www.instagram.com/mhdbyyzqt/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/431370030_1145663463481383_790983259394898779_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=91HPUbdh3SMAb7aLjGh&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfCUX0wo3gwKQSwDQIO85oNwwwnhJqDRHA5lj4dksFNwBg&oe=661B2C92&_nc_sid=0985b0,2024/04/09 22:51:00,2024-04-09 22:51:00
54353995929,muhammadrafifismail,SEMOGA TOKONYA MAKIN GACOR MAKIN LAKU MAKIN TERKENAL @felskieee @pipneedsomeon @gyokashu,https://www.instagram.com/muhammadrafifismail/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/342084447_1250847558867799_2902782181823996070_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=MLrc-qjTONQAb54VREx&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAKqin8SIK0frCfgz0YQ1pEtQIPkdp0eXGr02RBH1u2lg&oe=661B4678&_nc_sid=0985b0,2024/04/09 22:51:11,2024-04-09 22:51:11
62612075572,yudha.ryzsss,..,https://www.instagram.com/yudha.ryzsss/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/428237164_718754537011406_2400437480707650163_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=sS7jS9rnK4gAb7iforb&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBr4w7bTbjiHwLA2aDhPZIRnbiKYQKyldiZ-8eHYbfuvQ&oe=661B2DDC&_nc_sid=0985b0,2024/04/09 22:51:11,2024-04-09 22:51:11
60373441067,stevandii,Makin sukses @geniusmelt @impact404k,https://www.instagram.com/stevandii/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/436469885_1090788702215283_4065425949335262411_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=2j9mGdZUYtAAb7_qxMN&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfDlERArACC8GeH7zW1NzjKocaHQuFb4KQvlLGT39ugBbQ&oe=661B4DD4&_nc_sid=0985b0,2024/04/09 22:51:12,2024-04-09 22:51:12
38880701976,itsmekun_,Bismillah semoga kita semua sehat @m.fauzialflh_ @racainee @princeyagami,https://www.instagram.com/itsmekun_/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/319045669_193622913189946_7288472488799487215_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ciUGe10cECMAb4PPyks&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAyfiTSdaeMJx8rFrJAtp7xVuNY0J9W0gEva8UqJm7r5A&oe=661B4FEB&_nc_sid=0985b0,2024/04/09 22:51:14,2024-04-09 22:51:14
63702081025,eyyy_khll,Semoga rapspoint makin sukses@eyyy_khll,https://www.instagram.com/eyyy_khll/,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5QQYGU&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfD2c5dexevUuO0L5rnL8TvZJhqqORNt-ghPvIlTMKraqw&oe=661B3C0F&_nc_sid=65462d,2024/04/09 22:51:16,2024-04-09 22:51:16
44812043165,bayusegara.art46,Semoga sukses selalu bang,https://www.instagram.com/bayusegara.art46/,https://instagram.fsub8-1.fna.fbcdn.net/v/t51.2885-19/328482398_626697099216770_7354652645282774038_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=cBNGKYMbLWQAb7O3yDD&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBdCeF6zMmIoJ9MIbq0d0MgCnP9fLlN4MvJb4ESUI_upw&oe=661B3690&_nc_sid=0985b0,2024/04/09 22:51:19,2024-04-09 22:51:19
37456285391,danimarbun_,@yagami_fox apa coba,https://www.instagram.com/danimarbun_/,https://scontent-gmp1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-gmp1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb5QQYGU&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfD2c5dexevUuO0L5rnL8TvZJhqqORNt-ghPvIlTMKraqw&oe=661B3C0F&_nc_sid=65462d,2024/04/09 22:51:20,2024-04-09 22:51:20
65642802880,queenofpargoy,"Semoga Rapspoint menjadi reseller amanah, dan jokiraps bisa menjadi top global rank 1",https://www.instagram.com/queenofpargoy/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/434181742_770374891390480_2324781059505544277_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=c4-so3b3-4sAb6BbXSI&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfB8DGfwAqQF2_Gk9IY7207zU5ZTZhYT6-cBizGm1pHNTg&oe=661B23E8&_nc_sid=0985b0,2024/04/09 22:51:34,2024-04-09 22:51:34
30899401844,malnazril28,Semoga sukses @garnacho1235 @dira.saputra08 @lesmana1dy,https://www.instagram.com/malnazril28/,https://scontent-xsp2-1.cdninstagram.com/v/t51.2885-19/436540596_1472448676955711_2184216676824832854_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-xsp2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=p59zTVq1AY4Ab5_J5Bk&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAeSQRwHrdwH06sH1oHFuL7I-JlMcV7xuXZ1XJj66HcmA&oe=661B4267&_nc_sid=0985b0,2024/04/09 22:51:35,2024-04-09 22:51:35
